,loss,acc,recall,precision,f1,roc-auc,model_name
17,0.7017999,53.068653,0.7759142,0.5475335,0.6357491,0.50866765,Weighted_VRAE_Explicit
11,0.70285803,52.914276,0.7608263,0.5477994,0.63427424,0.50843775,Weighted_Hierarchical_Explicit
27,0.6993891,52.210724,0.67538536,0.54797316,0.59033895,0.50843525,Reasonable_Weighted_Wiki_Explicit
2,0.694,51.496,0.622672,0.5447040000000001,0.567226,0.5053080000000001,Hierarchical_Naive
1,0.7076458,50.313866,0.48181683,0.5464533,0.47401595,0.5052014,DTW_Explicit
8,0.69498163,50.791325,0.54562545,0.49216223,0.48671928,0.50455916,VRAE_Naive
25,0.70804137,49.577526,0.41728607,0.5384763,0.41476935,0.5029742,Weighted_Wiki_Explicit
19,0.7099849,51.22712,0.61710376,0.54279554,0.5515599,0.5029317,Reports_0_to_3_Explicit
7,0.7009072,52.46209,0.77260786,0.5439455,0.6347314,0.5025457,SOM_Explicit
9,0.7110292,50.069332,0.4852231,0.54366183,0.475312,0.5021833,VRAE_Explicit
16,0.69198287,53.625683,0.91126823,0.5430168,0.6778349,0.5021739,Weighted_VRAE_Naive
13,0.6907419,54.111,0.9703304,0.5427746,0.6958765,0.5020665,Weighted_KMeans_Explicit
21,0.7120313,47.857582,0.22000769,0.54837286,0.3094256,0.5020572,Reports_2_par_Explicit
23,0.7120313,47.857582,0.22000769,0.54837286,0.3094256,0.5020572,Reports_3_par_Explicit
15,0.69080055,54.035175,0.96241033,0.5427376,0.69372225,0.5019339,Weighted_SOM_Explicit
6,0.6938173,51.811134,0.6999079,0.54293525,0.5997946,0.50174034,SOM_Naive
5,0.70136607,50.307716,0.53239596,0.5336845,0.48710743,0.50052613,KMeans_Explicit
26,0.6932776,53.0099,0.8630751,0.5431443,0.65926254,0.5000329,Reasonable_Weighted_Wiki_Naive
12,0.6929587,52.50307,0.8,0.43337435,0.5621493,0.5,Weighted_KMeans_Naive
20,0.6943158,51.750343,0.7145995,0.54250157,0.60561967,0.4999202,Reports_2_par_Naive
22,0.6943158,51.750343,0.7145995,0.54250157,0.60561967,0.4999202,Reports_3_par_Naive
4,0.69674236,50.70594,0.5887106,0.5412115,0.5493468,0.4998378,KMeans_Naive
18,0.69310766,53.616463,0.93606883,0.5417359,0.6847222,0.4998134,Reports_0_to_3_Naive
3,0.708,48.604000000000006,0.342128,0.5325300000000001,0.367374,0.4991359999999999,Hierarchical_Explicit
0,0.6929988,52.217552,0.7924246,0.432172,0.5592153,0.49764338,DTW_Naive
14,0.6941459,50.571377,0.60255295,0.38295427,0.42643458,0.4968215,Weighted_SOM_Naive
10,0.6938435,53.24419,0.9374113,0.5396075,0.6831663,0.49574003,Weighted_Hierarchical_Naive
24,0.6983372,48.959354,0.42490387,0.43929774,0.37187654,0.4955748,Weighted_Wiki_Naive
